trip_id,condition,temperature,humidity,wind_kmph
T000197,Cloudy,36,79,24
T000198,Clear,21,79,10
T000199,Clear,33,87,5
T000200,Clear,30,75,12
T000201,Rain,34,65,2
T000202,Rain,24,46,3
T000203,Cloudy,35,51,17
T000204,Fog,20,80,26
T000205,Cloudy,22,54,15
T000206,Clear,35,65,22
T000207,Rain,20,89,11
T000208,Cloudy,29,40,12
T000209,Cloudy,20,64,20
T000210,Rain,20,58,29
T000211,Clear,27,73,11
T000212,Rain,28,54,6
T000213,Cloudy,24,77,19
T000214,Cloudy,23,51,12
T000215,Fog,27,78,9
T000216,Cloudy,26,54,3
T000217,Cloudy,21,78,25
T000218,Clear,32,73,26
T000219,Rain,34,45,25
T000220,Cloudy,30,84,22
T000221,Fog,32,42,26
T000222,Cloudy,24,52,2
T000223,Clear,20,55,30
T000224,Rain,25,83,11
T000225,Clear,35,48,5
T000226,Cloudy,29,67,21
T000227,Cloudy,26,40,5
T000228,Fog,22,59,11
T000229,Rain,21,81,6
T000230,Fog,30,90,13
T000231,Cloudy,28,66,4
T000232,Cloudy,35,72,6
T000233,Rain,36,47,2
T000234,Rain,26,60,8
T000235,Clear,30,57,6
T000236,Rain,32,51,24
T000237,Cloudy,34,46,16
T000238,Rain,25,58,26
T000239,Clear,25,70,14
T000240,Fog,35,47,20
T000241,Rain,21,45,8
T000242,Rain,33,85,13
T000243,Cloudy,27,67,24
T000244,Cloudy,24,48,2
T000245,Fog,36,67,19
T000246,Clear,21,76,17
T000247,Cloudy,22,83,22
T000248,Clear,29,86,27
T000249,Clear,28,57,29
T000250,Cloudy,22,49,21
T000251,Fog,23,43,7
T000252,Cloudy,34,64,23
T000253,Fog,27,86,23
T000254,Cloudy,29,56,8
T000255,Cloudy,25,47,24
T000256,Fog,21,56,28
T000257,Fog,28,46,3
T000258,Cloudy,35,70,15
T000259,Fog,30,45,28
T000260,Fog,24,42,8
T000261,Rain,36,69,23
T000262,Clear,25,80,3
T000263,Clear,23,83,20
T000264,Clear,34,55,20
T000265,Cloudy,33,84,27
T000266,Rain,22,80,28
T000267,Clear,26,47,27
T000268,Clear,21,74,7
T000269,Cloudy,30,54,5
T000270,Clear,34,86,8
T000271,Clear,25,76,19
T000272,Cloudy,27,77,6
T000273,Fog,27,45,19
T000274,Clear,34,89,6
T000275,Fog,26,90,23
T000276,Rain,26,48,12
T000277,Cloudy,31,68,17
T000278,Rain,22,46,7
T000279,Clear,22,41,29
T000280,Rain,27,70,13
T000281,Cloudy,25,55,5
T000282,Clear,32,71,26
T000283,Rain,34,61,24
T000284,Rain,27,90,26
T000285,Clear,33,63,14
T000286,Clear,24,77,21
T000287,Rain,24,52,7
T000288,Rain,35,47,22
T000289,Cloudy,33,56,22
T000290,Rain,33,80,13
T000291,Cloudy,28,83,24
T000292,Clear,27,52,27
T000293,Cloudy,30,51,24
T000294,Cloudy,33,42,8
T000295,Clear,20,45,6
T000296,Cloudy,20,86,5
T000297,Clear,36,48,17
T000298,Fog,29,67,8
T000299,Fog,23,87,30
T000300,Fog,31,70,23
T000301,Fog,22,71,23
T000302,Clear,30,74,19
T000303,Fog,33,48,11
T000304,Fog,29,60,3
T000305,Clear,27,81,11
T000306,Clear,35,77,2
T000307,Clear,33,52,17
T000308,Rain,28,44,20
T000309,Rain,25,41,22
T000310,Fog,36,52,13
T000311,Fog,32,55,5
T000312,Fog,21,86,17
T000313,Rain,36,47,18
T000314,Clear,28,68,15
T000315,Clear,31,59,2
T000316,Clear,27,68,14
T000317,Cloudy,22,89,17
T000318,Clear,20,88,3
T000319,Clear,24,78,23
T000320,Rain,27,41,2
T000321,Cloudy,36,67,26
T000322,Cloudy,29,86,23
T000323,Rain,30,84,14
T000324,Clear,21,40,10
T000325,Cloudy,36,67,6
T000326,Rain,25,60,25
T000327,Fog,35,42,16
T000328,Cloudy,26,77,2
T000329,Fog,23,60,6
T000330,Rain,24,53,29
T000331,Fog,32,58,22
T000332,Rain,35,57,20
T000333,Cloudy,24,71,18
T000334,Fog,36,46,18
T000335,Rain,21,45,15
T000336,Fog,20,40,14
T000337,Fog,20,52,5
T000338,Cloudy,25,49,25
T000339,Cloudy,35,87,20
T000340,Fog,35,47,17
T000341,Rain,34,48,30
T000342,Rain,35,46,27
T000343,Clear,30,67,5
T000344,Rain,21,68,27
T000345,Clear,34,88,18
T000346,Cloudy,25,45,10
T000347,Fog,34,49,26
T000348,Cloudy,36,58,15
T000349,Clear,34,84,13
T000350,Clear,30,88,22
T000351,Rain,23,68,11
T000352,Cloudy,26,89,13
T000353,Clear,32,56,20
T000354,Fog,26,69,17
T000355,Fog,35,41,27
T000356,Rain,29,76,16
T000357,Cloudy,33,64,9
T000358,Fog,23,81,19
T000359,Clear,30,65,20
T000360,Rain,33,83,7
T000361,Fog,27,71,18
T000362,Fog,27,88,19
T000363,Cloudy,34,79,11
T000364,Rain,29,45,14
T000365,Fog,30,61,8
T000366,Clear,22,90,30
T000367,Fog,31,52,16
T000368,Rain,26,40,8
T000369,Fog,24,56,20
T000370,Rain,33,57,5
T000371,Cloudy,27,84,15
T000372,Clear,27,61,28
T000373,Fog,22,90,6
T000374,Clear,20,69,14
T000375,Clear,24,80,18
T000376,Cloudy,24,49,17
T000377,Cloudy,30,52,23
T000378,Rain,20,80,9
T000379,Rain,23,49,11
T000380,Rain,23,41,28
T000381,Cloudy,22,47,6
T000382,Rain,30,55,3
T000383,Fog,36,69,7
T000384,Fog,34,55,14
T000385,Rain,30,67,16
T000386,Fog,22,90,10
T000387,Cloudy,24,88,24
T000388,Rain,26,70,9
T000389,Clear,24,59,25
T000390,Fog,30,76,22
T000391,Fog,25,42,28
T000392,Fog,33,65,7
T000393,Cloudy,26,72,24
T000394,Clear,22,58,22
T000395,Rain,25,84,20
T000396,Rain,36,89,26
T000397,Fog,23,85,6
T000398,Cloudy,29,47,19
T000399,Rain,36,81,23
T000400,Clear,20,61,28
T000401,Cloudy,32,67,5
T000402,Rain,26,66,11
T000403,Cloudy,30,82,17
T000404,Cloudy,27,79,4
T000405,Cloudy,33,81,28
T000406,Cloudy,34,80,2
T000407,Cloudy,34,59,7
T000408,Rain,34,67,18
T000409,Fog,25,56,14
T000410,Clear,35,65,15
T000411,Clear,31,72,24
T000412,Fog,24,56,21
T000413,Cloudy,26,67,7
T000414,Fog,26,87,14
T000415,Clear,26,71,7
T000416,Cloudy,25,45,11
T000417,Cloudy,21,46,8
T000418,Rain,31,82,14
T000419,Clear,28,84,26
T000420,Fog,21,87,12
T000421,Clear,36,42,6
T000422,Fog,23,67,24
T000423,Rain,30,54,20
T000424,Fog,26,87,5
T000425,Clear,24,73,23
T000426,Fog,21,78,12
T000427,Fog,26,86,27
T000428,Fog,32,44,18
T000429,Fog,29,49,8
T000430,Clear,25,43,5
T000431,Fog,22,89,16
T000432,Clear,35,57,24
T000433,Fog,20,65,19
T000434,Clear,23,42,6
T000435,Clear,36,90,11
T000436,Rain,26,48,21
T000437,Clear,24,74,8
T000438,Rain,27,44,10
T000439,Clear,27,64,5
T000440,Fog,32,51,13
T000441,Cloudy,27,83,21
T000442,Fog,22,59,15
T000443,Clear,24,70,17
T000444,Clear,34,50,23
T000445,Rain,23,58,11
T000446,Fog,34,61,11
T000447,Rain,20,49,26
T000448,Fog,31,85,8
T000449,Rain,24,60,26
T000450,Fog,30,67,21
T000451,Fog,33,52,17
T000452,Cloudy,26,45,29
T000453,Cloudy,31,85,15
T000454,Rain,23,82,2
T000455,Rain,21,77,30
T000456,Clear,26,66,19
T000457,Fog,21,90,24
T000458,Clear,25,76,8
T000459,Rain,21,80,6
T000460,Cloudy,28,86,6
T000461,Clear,32,81,10
T000462,Cloudy,22,71,7
T000463,Cloudy,22,67,9
T000464,Clear,22,57,6
T000465,Clear,35,49,9
T000466,Clear,32,49,13
T000467,Clear,22,42,21
T000468,Fog,28,85,27
T000469,Cloudy,28,49,4
T000470,Fog,35,74,19
T000471,Cloudy,23,43,13
T000472,Fog,33,63,3
T000473,Clear,35,87,6
T000474,Clear,33,83,30
T000475,Fog,32,51,28
T000476,Fog,30,41,9
T000477,Rain,35,42,3
T000478,Fog,36,46,18
T000479,Clear,24,89,24
T000480,Rain,24,76,22
T000481,Clear,22,51,24
T000482,Fog,24,68,13
T000483,Fog,20,49,29
T000484,Cloudy,23,65,26
T000485,Fog,30,76,3
T000486,Fog,24,44,10
T000487,Cloudy,33,70,17
T000488,Fog,30,40,6
T000489,Fog,23,42,8
T000490,Fog,29,72,28
T000491,Rain,25,75,21
T000492,Fog,23,71,25
T000493,Clear,31,90,16
T000494,Rain,33,42,2
T000495,Rain,33,48,22
T000496,Fog,25,60,8
T000497,Cloudy,31,51,9
T000498,Fog,23,46,6
T000499,Cloudy,30,80,16
T000500,Clear,23,52,21
T000501,Rain,26,45,13
T000502,Fog,29,50,27
T000503,Rain,21,72,10
T000504,Rain,31,49,26
T000505,Cloudy,28,85,21
T000506,Fog,34,50,21
T000507,Clear,35,46,28
T000508,Clear,23,63,21
T000509,Rain,21,56,30
T000510,Rain,24,88,20
T000511,Cloudy,22,62,19
T000512,Clear,30,53,28
T000513,Cloudy,26,44,10
T000514,Fog,31,56,5
T000515,Fog,26,65,7
T000516,Cloudy,32,65,14
T000517,Rain,29,84,9
T000518,Cloudy,20,78,13
T000519,Clear,30,68,17
T000520,Clear,36,86,22
T000521,Rain,32,80,5
T000522,Rain,23,67,27
T000523,Cloudy,29,40,16
T000524,Rain,24,45,24
T000525,Cloudy,29,51,20
T000526,Cloudy,32,90,30
T000527,Rain,33,45,26
T000528,Cloudy,36,69,28
T000529,Rain,21,84,8
T000530,Cloudy,23,73,5
T000531,Fog,34,82,21
T000532,Cloudy,28,65,14
T000533,Clear,21,62,6
T000534,Cloudy,30,69,24
T000535,Fog,36,56,6
T000536,Clear,27,89,27
T000537,Fog,20,51,12
T000538,Cloudy,26,45,20
T000539,Clear,35,52,28
T000540,Cloudy,27,43,21
T000541,Rain,36,59,14
T000542,Rain,30,88,23
T000543,Clear,36,54,22
T000544,Cloudy,35,43,14
T000545,Clear,20,54,15
T000546,Clear,24,78,14
T000547,Cloudy,27,73,30
T000548,Fog,24,42,9
T000549,Rain,32,68,3
T000550,Rain,20,61,25
T000551,Clear,32,69,25
T000552,Rain,28,90,22
T000553,Rain,26,66,3
T000554,Clear,21,54,5
T000555,Rain,31,74,24
T000556,Clear,29,49,2
T000557,Rain,26,60,18
T000558,Cloudy,33,74,25
T000559,Fog,23,84,9
T000560,Clear,33,83,20
T000561,Clear,23,66,10
T000562,Fog,27,85,11
T000563,Clear,25,86,26
T000564,Rain,35,61,3
T000565,Cloudy,25,47,11
T000566,Rain,21,74,19
T000567,Cloudy,23,68,30
T000568,Clear,36,83,26
T000569,Rain,28,70,6
T000570,Clear,33,84,10
T000571,Cloudy,29,46,9
T000572,Fog,35,78,15
T000573,Fog,21,57,17
T000574,Fog,20,86,2
T000575,Clear,27,58,27
T000576,Cloudy,27,80,26
T000577,Fog,24,46,25
T000578,Rain,29,67,4
T000579,Cloudy,32,89,9
T000580,Cloudy,32,79,28
T000581,Rain,35,74,17
T000582,Clear,34,47,3
T000583,Cloudy,30,79,30
T000584,Rain,35,40,12
T000585,Rain,31,80,19
T000586,Rain,26,44,20
T000587,Cloudy,35,53,7
T000588,Cloudy,35,60,11
T000589,Fog,28,85,6
T000590,Clear,26,79,19
T000591,Clear,20,78,10
T000592,Rain,35,87,29
T000593,Cloudy,30,46,29
T000594,Rain,26,88,18
T000595,Cloudy,23,61,16
T000596,Clear,31,69,4
T000597,Cloudy,33,54,28
T000598,Fog,25,42,28
T000599,Fog,26,56,8
T000600,Fog,31,40,7
T000601,Rain,33,86,14
T000602,Fog,28,76,14
T000603,Cloudy,34,65,7
T000604,Clear,31,46,17
T000605,Fog,33,78,14
T000606,Clear,32,44,22
T000607,Clear,33,51,7
T000608,Clear,32,67,26
T000609,Fog,32,83,4
T000610,Fog,28,67,12
T000611,Fog,27,51,4
T000612,Rain,24,78,25
T000613,Rain,22,67,5
T000614,Cloudy,25,57,18
T000615,Fog,20,85,12
T000616,Fog,34,49,16
T000617,Fog,36,63,11
T000618,Cloudy,27,64,19
T000619,Clear,28,60,26
T000620,Rain,25,65,11
T000621,Clear,36,45,21
T000622,Fog,25,69,13
T000623,Cloudy,27,90,7
T000624,Cloudy,22,90,15
T000625,Clear,36,80,22
T000626,Clear,30,81,24
T000627,Rain,20,54,30
T000628,Cloudy,29,64,10
T000629,Clear,24,77,29
T000630,Cloudy,24,57,21
T000631,Clear,36,44,10
T000632,Cloudy,21,78,10
T000633,Clear,21,60,27
T000634,Cloudy,34,89,22
T000635,Rain,27,61,10
T000636,Cloudy,34,61,22
T000637,Cloudy,24,60,7
T000638,Cloudy,35,59,13
T000639,Fog,24,69,26
T000640,Rain,28,46,4
T000641,Fog,21,46,3
T000642,Clear,26,75,4
T000643,Rain,26,51,12
T000644,Rain,21,72,13
T000645,Rain,25,72,29
T000646,Clear,30,69,18
T000647,Fog,26,89,28
T000648,Cloudy,22,60,29
T000649,Fog,26,64,3
T000650,Clear,31,87,12
T000651,Rain,29,44,15
T000652,Fog,24,84,17
T000653,Rain,23,90,7
T000654,Rain,32,88,21
T000655,Cloudy,20,59,17
T000656,Clear,23,85,14
T000657,Rain,24,77,25
T000658,Clear,35,70,29
T000659,Rain,35,89,19
T000660,Rain,23,75,24
T000661,Clear,31,73,21
T000662,Cloudy,33,52,10
T000663,Fog,26,86,21
T000664,Cloudy,28,48,30
T000665,Rain,29,47,19
T000666,Rain,35,88,11
T000667,Rain,28,56,22
T000668,Clear,35,75,21
T000669,Fog,33,65,24
T000670,Clear,23,58,15
T000671,Rain,25,53,19
T000672,Cloudy,23,86,4
T000673,Fog,23,52,20
T000674,Clear,23,87,28
T000675,Cloudy,27,55,30
T000676,Clear,32,87,10
T000677,Rain,24,46,27
T000678,Cloudy,33,44,7
T000679,Fog,35,67,24
T000680,Rain,21,85,26
T000681,Fog,35,86,5
T000682,Fog,28,71,4
T000683,Clear,23,50,2
T000684,Rain,24,78,13
T000685,Cloudy,25,77,18
T000686,Rain,31,49,9
T000687,Clear,36,65,26
T000688,Cloudy,35,79,14
T000689,Clear,20,43,11
T000690,Fog,25,54,24
T000691,Clear,30,51,14
T000692,Cloudy,28,66,24
T000693,Fog,23,47,7
T000694,Rain,32,52,4
T000695,Fog,31,68,25
T000696,Cloudy,26,81,3
T000697,Cloudy,25,49,19
T000698,Clear,21,64,26
T000699,Clear,35,79,10
T000700,Rain,29,49,3
T000701,Cloudy,32,48,25
T000702,Rain,34,59,30
T000703,Cloudy,28,87,23
T000704,Cloudy,36,87,22
T000705,Clear,30,77,30
T000706,Clear,35,84,10
T000707,Fog,31,68,20
T000708,Rain,26,80,12
T000709,Clear,20,71,12
T000710,Fog,24,79,2
T000711,Fog,24,62,25
T000712,Fog,31,44,6
T000713,Clear,23,79,5
T000714,Cloudy,36,52,17
T000715,Clear,23,84,26
T000716,Cloudy,27,73,2
T000717,Clear,22,60,20
T000718,Clear,30,74,25
T000719,Fog,24,90,12
T000720,Cloudy,32,50,11
T000721,Fog,29,49,9
T000722,Rain,31,84,29
T000723,Cloudy,30,84,8
T000724,Cloudy,32,88,6
T000725,Rain,20,60,13
T000726,Rain,21,87,30
T000727,Clear,24,68,22
T000728,Rain,35,63,6
T000729,Rain,24,71,4
T000730,Cloudy,36,66,22
T000731,Fog,27,70,3
T000732,Rain,22,42,8
T000733,Clear,28,75,13
T000734,Rain,32,53,7
T000735,Cloudy,27,76,30
T000736,Cloudy,25,71,17
T000737,Cloudy,25,46,3
T000738,Rain,20,70,7
T000739,Rain,20,42,17
T000740,Clear,26,55,24
T000741,Fog,34,70,19
T000742,Rain,35,83,19
T000743,Rain,24,78,12
T000744,Cloudy,25,87,9
T000745,Rain,23,54,22
T000746,Clear,26,74,22
T000747,Cloudy,29,61,14
T000748,Clear,33,84,20
T000749,Clear,34,64,25
T000750,Fog,36,51,16
T000751,Clear,30,67,5
T000752,Fog,27,85,16
T000753,Clear,35,42,10
T000754,Rain,31,75,10
T000755,Cloudy,28,77,18
T000756,Cloudy,22,49,23
T000757,Clear,21,60,26
T000758,Fog,25,55,21
T000759,Fog,30,59,28
T000760,Fog,35,61,19
T000761,Rain,36,83,15
T000762,Cloudy,23,86,25
T000763,Rain,24,56,21
T000764,Clear,26,57,3
T000765,Rain,28,48,27
T000766,Clear,31,55,6
T000767,Fog,33,54,9
T000768,Clear,22,66,24
T000769,Fog,35,72,21
T000770,Clear,29,54,14
T000771,Clear,33,45,15
T000772,Fog,27,45,24
T000773,Clear,25,73,4
T000774,Cloudy,23,57,28
T000775,Cloudy,21,65,6
T000776,Rain,21,44,14
T000777,Fog,32,88,10
T000778,Clear,30,71,8
T000779,Fog,28,71,14
T000780,Fog,22,78,11
T000781,Fog,28,43,2
T000782,Fog,36,42,23
T000783,Fog,27,42,3
T000784,Cloudy,22,54,16
T000785,Rain,30,73,6
T000786,Cloudy,29,56,5
T000787,Cloudy,29,45,9
T000788,Clear,35,65,20
T000789,Cloudy,33,71,30
T000790,Cloudy,22,42,21
T000791,Fog,28,50,22
T000792,Clear,32,66,27
T000793,Cloudy,22,58,26
T000794,Fog,25,65,8
T000795,Fog,30,87,24
T000796,Clear,35,57,8
T000797,Rain,36,57,18
T000798,Clear,22,70,28
T000799,Cloudy,21,54,28
T000800,Rain,21,71,20
T000801,Fog,35,41,5
T000802,Fog,22,44,6
T000803,Rain,35,82,21
T000804,Fog,25,73,28
T000805,Rain,35,89,20
T000806,Fog,31,41,23
T000807,Rain,30,47,21
T000808,Rain,28,61,29
T000809,Fog,23,63,5
T000810,Cloudy,29,75,23
T000811,Fog,21,70,27
T000812,Cloudy,24,50,25
T000813,Rain,36,58,13
T000814,Clear,25,81,20
T000815,Cloudy,26,85,5
T000816,Cloudy,26,80,6
T000817,Cloudy,36,58,8
T000818,Clear,28,70,14
T000819,Cloudy,28,84,5
T000820,Clear,36,51,22
T000821,Fog,28,77,8
T000822,Cloudy,20,84,4
T000823,Fog,26,53,13
T000824,Rain,27,42,17
T000825,Fog,31,62,26
T000826,Clear,29,69,3
T000827,Cloudy,25,63,3
T000828,Clear,36,77,30
T000829,Cloudy,29,64,26
T000830,Cloudy,24,43,18
T000831,Clear,25,42,15
T000832,Clear,28,61,2
T000833,Clear,35,46,16
T000834,Clear,28,50,4
T000835,Rain,35,42,18
T000836,Rain,23,55,15
T000837,Clear,26,55,15
T000838,Cloudy,36,87,2
T000839,Fog,27,49,23
T000840,Rain,36,67,8
T000841,Fog,27,86,23
T000842,Clear,36,72,2
T000843,Cloudy,21,58,9
T000844,Cloudy,34,73,16
T000845,Cloudy,21,86,4
T000846,Clear,20,41,20
T000847,Clear,33,40,30
T000848,Cloudy,27,54,14
T000849,Fog,30,66,4
T000850,Cloudy,33,67,27
T000851,Clear,20,64,6
T000852,Cloudy,35,67,26
T000853,Rain,30,59,9
T000854,Rain,36,63,20
T000855,Clear,32,89,23
T000856,Rain,26,51,30
T000857,Rain,35,49,14
T000858,Fog,31,81,9
T000859,Rain,20,75,27
T000860,Cloudy,26,40,19
T000861,Cloudy,32,74,6
T000862,Clear,32,44,3
T000863,Cloudy,22,87,12
T000864,Cloudy,35,68,16
T000865,Cloudy,35,86,22
T000866,Clear,22,48,12
T000867,Clear,25,40,14
T000868,Rain,29,59,10
T000869,Fog,23,65,17
T000870,Cloudy,23,80,8
T000871,Fog,36,51,19
T000872,Fog,21,65,29
T000873,Clear,30,83,7
T000874,Fog,24,60,20
T000875,Rain,21,78,24
T000876,Rain,34,80,19
T000877,Cloudy,34,57,14
T000878,Fog,24,48,12
T000879,Rain,20,82,30
T000880,Fog,28,56,7
T000881,Rain,27,52,19
T000882,Rain,25,65,20
T000883,Rain,32,75,12
T000884,Rain,23,70,21
T000885,Cloudy,30,52,5
T000886,Fog,28,49,24
T000887,Clear,21,78,25
T000888,Rain,36,66,27
T000889,Fog,31,90,29
T000890,Clear,29,63,22
T000891,Clear,33,75,25
T000892,Fog,34,86,11
T000893,Cloudy,26,44,6
T000894,Clear,34,62,2
T000895,Fog,24,64,6
T000896,Fog,23,81,17
T000897,Cloudy,33,50,5
T000898,Rain,26,60,19
T000899,Fog,28,76,27
T000900,Fog,34,88,18
T000901,Rain,32,86,27
T000902,Clear,34,62,23
T000903,Fog,30,47,16
T000904,Clear,22,59,8
T000905,Clear,24,86,6
T000906,Fog,32,46,6
T000907,Cloudy,29,76,8
T000908,Fog,20,90,19
T000909,Rain,31,86,14
T000910,Cloudy,34,47,6
T000911,Fog,35,43,15
T000912,Clear,27,48,6
T000913,Cloudy,31,65,17
T000914,Clear,24,56,16
T000915,Clear,36,42,19
T000916,Clear,23,55,3
T000917,Rain,20,76,15
T000918,Rain,34,56,28
T000919,Clear,30,80,20
T000920,Fog,22,85,20
T000921,Clear,35,65,27
T000922,Fog,23,49,8
T000923,Cloudy,23,79,16
T000924,Fog,33,43,28
T000925,Clear,34,49,30
T000926,Rain,23,68,30
T000927,Rain,35,82,4
T000928,Rain,33,75,30
T000929,Fog,33,47,13
T000930,Rain,32,51,11
T000931,Fog,20,49,19
T000932,Cloudy,36,54,21
T000933,Cloudy,23,77,30
T000934,Cloudy,27,42,10
T000935,Clear,26,84,11
T000936,Fog,20,65,16
T000937,Fog,27,84,20
T000938,Rain,24,86,21
T000939,Rain,32,53,15
T000940,Rain,24,59,18
T000941,Fog,20,90,11
T000942,Clear,31,56,27
T000943,Fog,20,84,23
T000944,Fog,22,51,10
T000945,Rain,36,65,17
T000946,Rain,33,44,6
T000947,Fog,31,80,7
T000948,Cloudy,29,81,16
T000949,Clear,35,83,21
T000950,Cloudy,25,44,30
T000951,Clear,27,60,25
T000952,Cloudy,22,67,13
T000953,Rain,26,68,24
T000954,Rain,32,79,20
T000955,Rain,21,45,29
T000956,Cloudy,35,41,14
T000957,Clear,20,41,4
T000958,Clear,26,63,14
T000959,Rain,24,52,12
T000960,Clear,28,61,25
T000961,Clear,29,45,24
T000962,Rain,33,66,19
