vehicle_id,vehicle_no,vehicle_type,fuel_type,mileage,capacity_kg,vehicle_age_years,total_km,service_count,last_service_days_ago,breakdown_count,maintenance_cost_total,fuel_efficiency_drop_pct
V0038,KA09AB1038,Pickup,Diesel,13.8,3522,7.5,167532,17,88,0,60224,32.5
V0039,KA09AB1039,Pickup,CNG,12.1,5479,0.8,11921,1,129,0,2696,31.48
V0040,KA09AB1040,Pickup,Electric,17.8,4993,4.6,100802,10,68,0,31048,32.64
V0041,KA09AB1041,Pickup,Petrol,10.6,10820,1.4,41464,4,35,0,12472,20.91
V0042,KA09AB1042,Mini Truck,Diesel,9.3,7798,1.1,15079,1,69,0,2910,29.66
V0043,KA09AB1043,Van,CNG,15.8,5634,7.7,164646,18,135,0,34643,31.81
V0044,KA09AB1044,Van,Electric,16.4,8316,2.7,67178,6,27,0,16175,28.14
V0045,KA09AB1045,Pickup,CNG,10.0,9903,4.0,121158,10,47,0,33915,25.49
V0046,KA09AB1046,Pickup,Electric,17.2,4090,11.2,359475,52,205,0,164062,40.43
V0047,KA09AB1047,Mini Truck,Electric,8.8,7730,2.1,44639,6,168,1,29192,28.6
V0048,KA09AB1048,Truck,CNG,14.9,7246,8.9,174068,21,44,0,72424,39.22
V0049,KA09AB1049,Pickup,Petrol,11.9,1606,1.8,48064,5,62,1,30278,52.8
V0050,KA09AB1050,Mini Truck,CNG,16.4,8213,3.3,72008,5,24,0,18500,30.5
V0051,KA09AB1051,Truck,Electric,6.2,3361,1.9,42066,4,44,0,10827,36.72
V0052,KA09AB1052,Pickup,Petrol,6.9,5342,4.2,128021,11,224,0,35241,28.19
V0053,KA09AB1053,Van,Electric,13.8,6383,2.8,95588,10,109,0,29902,33.49
V0054,KA09AB1054,Pickup,CNG,13.5,8994,2.3,58869,9,18,0,23971,26.37
V0055,KA09AB1055,Truck,Diesel,8.8,5708,2.9,66255,10,187,0,22923,34.56
V0056,KA09AB1056,Mini Truck,Diesel,11.2,2612,7.8,213935,19,62,0,59494,41.09
V0057,KA09AB1057,Truck,Electric,8.0,5906,11.7,148296,14,31,0,37329,34.44
V0058,KA09AB1058,Truck,Diesel,9.9,1919,2.3,54948,7,307,0,31375,54.58
V0059,KA09AB1059,Van,CNG,10.5,3385,7.8,137565,12,23,0,37570,39.86
V0060,KA09AB1060,Mini Truck,Electric,12.8,3950,1.7,65172,8,5,0,24443,32.98
V0061,KA09AB1061,Mini Truck,Petrol,6.9,7267,5.0,141606,12,1,0,35417,38.72
V0062,KA09AB1062,Mini Truck,Electric,17.0,3344,2.7,67090,6,51,0,25892,29.58
V0063,KA09AB1063,Mini Truck,Electric,13.7,8529,3.9,89052,10,213,0,26249,36.16
V0064,KA09AB1064,Van,Diesel,16.8,8622,3.4,30295,4,132,0,12374,34.39
V0065,KA09AB1065,Van,Petrol,6.9,6661,2.4,67864,6,9,0,16369,32.92
V0066,KA09AB1066,Van,Electric,14.3,8484,0.5,16888,2,204,0,6230,35.94
V0067,KA09AB1067,Van,Petrol,18.0,8916,5.7,111874,10,112,0,31685,34.61
V0068,KA09AB1068,Truck,Petrol,10.6,6881,5.0,140502,17,77,0,65438,35.05
V0069,KA09AB1069,Van,CNG,6.3,11784,7.8,221015,20,75,0,46805,27.17
V0070,KA09AB1070,Pickup,CNG,6.1,1803,6.5,95623,9,18,1,37035,51.18
V0071,KA09AB1071,Pickup,CNG,15.3,4770,1.9,56267,6,51,0,24959,51.48
V0072,KA09AB1072,Van,Petrol,13.6,11172,2.3,73896,9,1,0,25956,27.54
V0073,KA09AB1073,Van,Petrol,13.5,11280,2.2,55816,5,2,0,15417,30.42
V0074,KA09AB1074,Truck,CNG,15.5,1546,4.0,94484,13,118,0,34551,46.56
V0075,KA09AB1075,Van,Petrol,7.1,5835,0.5,14364,1,2,0,1619,43.49
V0076,KA09AB1076,Van,Electric,8.1,3165,3.9,57546,6,111,0,18763,38.87
V0077,KA09AB1077,Van,CNG,16.0,5210,5.0,122798,11,42,0,42848,37.99
V0078,KA09AB1078,Pickup,CNG,15.0,6549,1.9,57619,7,77,0,20364,39.5
V0079,KA09AB1079,Truck,Electric,17.6,3306,5.6,92654,7,16,0,14574,41.62
V0080,KA09AB1080,Mini Truck,Electric,17.6,10131,11.8,353474,37,22,1,133809,23.1
V0081,KA09AB1081,Van,Diesel,15.5,1228,4.4,94559,11,8,0,35610,45.24
V0082,KA09AB1082,Van,Diesel,11.5,5295,4.9,56424,5,62,1,28343,31.66
V0083,KA09AB1083,Pickup,CNG,7.3,4830,3.9,91125,7,301,0,26153,30.03
V0084,KA09AB1084,Pickup,Diesel,13.4,10198,0.9,16352,2,81,0,6055,23.08
V0085,KA09AB1085,Van,Petrol,13.8,11410,7.0,181409,21,158,2,88739,35.5
V0086,KA09AB1086,Pickup,CNG,13.8,2911,3.7,62778,6,15,0,12661,45.95
V0087,KA09AB1087,Mini Truck,Diesel,17.4,5986,5.1,154538,17,38,0,65588,28.77
V0088,KA09AB1088,Pickup,Diesel,7.2,9807,4.2,82181,9,11,0,29712,25.75
V0089,KA09AB1089,Mini Truck,Electric,11.4,11985,3.6,94097,8,69,0,30728,18.87
V0090,KA09AB1090,Pickup,Petrol,16.6,11730,3.0,61308,6,97,0,22965,25.76
V0091,KA09AB1091,Truck,Electric,13.4,5583,4.4,97075,10,22,0,30174,38.13
V0092,KA09AB1092,Truck,CNG,8.6,8285,5.0,155753,15,65,0,46502,40.28
V0093,KA09AB1093,Mini Truck,CNG,7.2,7018,6.1,154279,16,10,0,42639,33.01
V0094,KA09AB1094,Van,Diesel,10.8,4109,1.9,41097,4,32,0,7800,42.3
V0095,KA09AB1095,Truck,Electric,7.1,4475,2.2,36280,3,6,0,9332,40.58
V0096,KA09AB1096,Truck,Diesel,15.4,4990,2.1,65015,7,52,0,22974,40.82
V0097,KA09AB1097,Mini Truck,Petrol,6.8,10080,1.7,48275,5,165,0,12692,26.78
V0098,KA09AB1098,Mini Truck,Petrol,15.8,4817,3.5,77143,6,69,1,37785,39.33
V0099,KA09AB1099,Van,Petrol,15.5,10764,3.4,86564,8,8,0,25991,24.2
V0100,KA09AB1100,Truck,CNG,16.3,3370,10.0,178225,18,5,0,62315,38.22
V0101,KA09AB1101,Mini Truck,CNG,15.6,2801,4.7,84181,6,78,0,16368,45.07
V0102,KA09AB1102,Truck,Petrol,6.2,4898,0.9,17139,2,131,1,15897,41.07
V0103,KA09AB1103,Van,Diesel,8.1,1858,6.5,169784,20,18,0,73131,42.52
V0104,KA09AB1104,Mini Truck,Electric,12.3,2041,4.0,103100,9,13,0,32008,39.32
V0105,KA09AB1105,Pickup,Electric,15.3,9408,3.6,70301,8,8,0,24991,23.64
V0106,KA09AB1106,Truck,Electric,12.0,11077,4.3,122235,13,92,0,38183,29.08
V0107,KA09AB1107,Truck,CNG,11.5,1510,5.2,149282,14,55,0,42330,43.19
V0108,KA09AB1108,Truck,Electric,16.2,7984,5.7,142713,15,7,0,46615,34.14
V0109,KA09AB1109,Truck,Electric,14.5,8267,1.3,39299,4,77,0,11538,29.26
V0110,KA09AB1110,Truck,Diesel,9.9,3430,9.5,211620,23,11,0,45614,43.86
V0111,KA09AB1111,Truck,Petrol,9.3,11372,2.2,51308,6,190,0,21962,30.36
V0112,KA09AB1112,Van,Electric,17.9,9692,2.4,64409,5,17,0,11465,29.42
V0113,KA09AB1113,Van,Electric,12.1,8048,3.6,85665,10,43,0,29901,35.79
V0114,KA09AB1114,Truck,Diesel,16.2,11664,3.9,112177,12,52,0,36070,25.54
V0115,KA09AB1115,Mini Truck,Electric,11.4,4743,1.9,31320,2,50,0,6693,38.35
V0116,KA09AB1116,Pickup,CNG,15.9,7532,0.8,26044,3,2,0,6666,37.75
V0117,KA09AB1117,Pickup,Diesel,9.8,6120,5.8,112012,9,24,0,35230,43.11
V0118,KA09AB1118,Van,CNG,17.4,8770,3.3,75939,6,31,0,21503,34.69
V0119,KA09AB1119,Truck,Diesel,16.0,2527,2.8,44057,5,87,1,26612,41.48
V0120,KA09AB1120,Pickup,Diesel,14.9,7105,3.7,102125,13,21,0,51371,43.16
V0121,KA09AB1121,Mini Truck,Diesel,13.0,10201,2.4,75943,7,38,1,25920,29.05
V0122,KA09AB1122,Van,Diesel,10.9,11900,5.0,152131,14,57,0,21000,21.55
V0123,KA09AB1123,Pickup,Diesel,17.6,10837,0.9,26100,2,46,0,6784,38.86
V0124,KA09AB1124,Van,CNG,7.2,9313,2.9,42506,4,77,0,15922,23.39
V0125,KA09AB1125,Mini Truck,Petrol,13.9,4674,6.4,123565,10,28,1,47193,26.68
V0126,KA09AB1126,Truck,CNG,16.1,7022,2.4,50939,4,151,0,11491,33.21
V0127,KA09AB1127,Truck,CNG,12.9,8030,6.2,114028,14,40,0,43954,36.63
V0128,KA09AB1128,Truck,CNG,6.3,5477,6.7,205932,17,70,0,57228,33.25
V0129,KA09AB1129,Van,CNG,10.2,3972,5.5,138088,13,79,0,27440,35.12
V0130,KA09AB1130,Mini Truck,Electric,6.8,11373,5.7,135963,15,125,1,50362,22.9
V0131,KA09AB1131,Truck,Diesel,15.0,4524,0.5,13463,1,62,0,2814,54.25
V0132,KA09AB1132,Pickup,Electric,11.4,3578,5.1,93280,7,60,1,39508,40.3
V0133,KA09AB1133,Van,CNG,14.7,10299,4.4,81620,7,364,0,19640,35.45
V0134,KA09AB1134,Truck,Diesel,7.9,11122,8.8,164659,23,124,0,95207,35.56
V0135,KA09AB1135,Truck,Diesel,9.3,11845,4.8,129531,13,56,1,52822,36.46
V0136,KA09AB1136,Pickup,Electric,13.3,7785,1.2,31259,3,46,0,6575,27.69
V0137,KA09AB1137,Van,Petrol,15.1,2864,4.3,118115,12,45,0,54344,42.37
V0138,KA09AB1138,Van,Electric,7.3,10717,5.1,155399,17,87,1,53936,38.87
V0139,KA09AB1139,Pickup,CNG,6.5,7475,0.5,7928,1,28,0,3570,34.28
V0140,KA09AB1140,Truck,Diesel,8.5,4460,4.1,84612,7,74,0,29563,45.92
V0141,KA09AB1141,Mini Truck,CNG,9.5,2965,3.8,94564,11,95,0,31668,41.23
V0142,KA09AB1142,Truck,Electric,15.0,3878,4.7,74765,8,102,0,19693,35.03
V0143,KA09AB1143,Mini Truck,Electric,12.4,4770,7.2,149810,16,20,1,70529,42.49
V0144,KA09AB1144,Van,Diesel,10.8,1693,4.1,123345,14,158,0,45350,55.08
V0145,KA09AB1145,Pickup,Diesel,11.5,2275,1.4,42862,4,213,0,9854,47.84
V0146,KA09AB1146,Van,Electric,12.9,11488,8.7,265004,25,150,0,63782,29.17
V0147,KA09AB1147,Pickup,CNG,7.4,1341,2.7,65497,7,14,0,20763,46.28
V0148,KA09AB1148,Van,Petrol,15.6,11127,2.3,52275,6,420,0,22670,33.43
V0149,KA09AB1149,Pickup,CNG,7.1,2734,2.0,60954,7,22,0,21194,46.22
V0150,KA09AB1150,Mini Truck,Electric,13.1,9584,0.8,17411,2,12,0,7185,35.72
V0151,KA09AB1151,Truck,Electric,16.4,6562,2.2,57265,6,25,0,25150,37.8
V0152,KA09AB1152,Mini Truck,CNG,15.3,2251,2.8,89465,9,70,0,35655,41.97
V0153,KA09AB1153,Truck,Petrol,16.9,6724,3.7,80640,8,24,0,32500,35.02
V0154,KA09AB1154,Van,Petrol,8.8,3399,4.4,89481,9,70,0,35452,38.99
V0155,KA09AB1155,Van,Petrol,8.1,3504,1.1,26338,3,40,0,6705,49.25
V0156,KA09AB1156,Truck,Petrol,17.4,11288,2.7,74494,10,118,0,39338,28.97
V0157,KA09AB1157,Pickup,Electric,15.1,10494,0.6,16137,1,72,0,3397,34.84
V0158,KA09AB1158,Pickup,CNG,16.4,11276,4.6,114702,13,124,0,40630,26.46
V0159,KA09AB1159,Van,Petrol,11.3,8682,9.2,251514,27,19,1,79389,30.92
V0160,KA09AB1160,Pickup,CNG,15.6,10689,3.8,54729,5,10,0,11233,22.96
V0161,KA09AB1161,Truck,CNG,12.1,6085,1.8,33920,3,54,0,7600,39.18
V0162,KA09AB1162,Pickup,Electric,6.5,7041,3.3,82432,8,185,0,25497,40.24
V0163,KA09AB1163,Van,Diesel,13.7,2479,5.9,108725,12,105,0,29939,44.63
V0164,KA09AB1164,Pickup,Electric,13.0,1672,1.8,28710,4,142,0,10840,49.73
V0165,KA09AB1165,Pickup,Petrol,9.9,8792,1.6,26805,3,6,0,8490,25.74
V0166,KA09AB1166,Mini Truck,Diesel,11.4,6626,3.0,55473,5,69,0,18000,36.64
V0167,KA09AB1167,Truck,Petrol,6.5,8172,6.2,142161,16,34,0,48366,28.38
V0168,KA09AB1168,Pickup,Petrol,10.4,5634,3.8,67884,6,203,0,18675,38.98
V0169,KA09AB1169,Pickup,Electric,15.3,10795,4.3,109260,13,364,0,51945,25.06
V0170,KA09AB1170,Truck,CNG,6.8,2548,4.9,167469,19,11,0,57138,56.14
V0171,KA09AB1171,Pickup,CNG,9.0,11757,7.6,175668,16,1,0,56953,36.75
V0172,KA09AB1172,Mini Truck,CNG,7.0,11872,3.2,101274,10,89,0,25656,27.69
V0173,KA09AB1173,Mini Truck,CNG,9.7,11748,2.2,56607,5,75,0,16987,26.25
V0174,KA09AB1174,Pickup,Petrol,13.1,2388,5.0,86405,10,134,0,32717,45.32
V0175,KA09AB1175,Van,Electric,13.7,6381,6.6,148246,18,54,0,59494,36.23
V0176,KA09AB1176,Mini Truck,Diesel,13.8,7937,4.4,79680,11,302,1,40900,26.74
V0177,KA09AB1177,Van,Diesel,10.4,3953,2.8,80101,10,1,0,25816,54.73
V0178,KA09AB1178,Mini Truck,CNG,17.4,8967,9.1,155441,19,3,0,57385,31.42
V0179,KA09AB1179,Mini Truck,Petrol,18.0,3538,8.2,261871,33,70,0,96334,46.81
V0180,KA09AB1180,Truck,CNG,16.1,2657,0.5,13735,1,64,0,3820,48.62
V0181,KA09AB1181,Truck,CNG,16.5,11125,3.4,40345,4,52,0,14979,31.42
V0182,KA09AB1182,Mini Truck,Electric,7.9,3962,3.1,88989,13,90,0,32223,39.02
V0183,KA09AB1183,Mini Truck,Electric,6.5,6968,0.9,29986,2,47,0,7153,36.41
V0184,KA09AB1184,Mini Truck,Electric,13.3,8355,2.4,46216,5,118,0,14561,32.02
V0185,KA09AB1185,Mini Truck,Petrol,9.7,8684,4.6,137593,17,37,0,59081,21.36
V0186,KA09AB1186,Mini Truck,CNG,14.1,10345,4.2,55481,5,33,1,23028,29.42
V0187,KA09AB1187,Pickup,Electric,15.2,7256,5.6,142872,12,38,0,27803,33.42
V0188,KA09AB1188,Pickup,Petrol,15.8,10906,2.2,30870,4,63,1,27833,25.05
V0189,KA09AB1189,Mini Truck,CNG,6.6,8873,9.7,260875,33,24,0,114555,27.43
V0190,KA09AB1190,Van,Diesel,14.5,9452,6.4,84942,10,32,0,24646,23.78
V0191,KA09AB1191,Truck,CNG,7.0,3626,2.2,18046,2,30,0,4130,37.15
V0192,KA09AB1192,Van,Electric,16.9,3414,3.7,97593,10,49,1,38782,29.6
V0193,KA09AB1193,Pickup,Diesel,17.4,4637,5.1,192409,22,174,0,54800,39.59
V0194,KA09AB1194,Pickup,CNG,17.2,7797,2.1,42895,4,48,0,11927,27.42
V0195,KA09AB1195,Truck,Electric,12.0,4862,9.0,260829,22,15,1,87856,41.71
V0196,KA09AB1196,Pickup,Diesel,10.5,1461,4.6,113456,14,96,0,57140,43.81
V0197,KA09AB1197,Van,Diesel,16.1,11648,4.5,99265,11,210,1,37218,28.22
V0198,KA09AB1198,Van,Petrol,7.7,5700,4.3,119077,15,51,0,60396,32.85
V0199,KA09AB1199,Pickup,Petrol,15.1,8685,4.3,145574,11,89,1,55831,31.82
V0200,KA09AB1200,Pickup,Diesel,16.9,1311,4.4,72993,6,51,0,17636,48.89
