trip_id,traffic,delay_min,avg_speed
T000119,Medium,27,29
T000120,Low,24,69
T000121,Low,10,68
T000122,Low,23,53
T000123,Medium,0,57
T000124,Medium,3,46
T000125,Low,28,26
T000126,High,29,50
T000127,High,14,23
T000128,Medium,28,48
T000129,Low,22,66
T000130,High,3,76
T000131,Low,23,35
T000132,High,10,35
T000133,Medium,0,26
T000134,High,17,69
T000135,Low,5,51
T000136,Medium,26,63
T000137,Medium,4,26
T000138,Medium,22,55
T000139,Low,24,42
T000140,High,24,70
T000141,High,17,44
T000142,High,27,69
T000143,High,3,44
T000144,High,18,55
T000145,Low,9,33
T000146,Low,30,27
T000147,High,17,54
T000148,High,4,21
T000149,Low,0,44
T000150,High,12,45
T000151,High,17,29
T000152,Medium,5,62
T000153,High,20,35
T000154,Medium,7,65
T000155,Medium,8,66
T000156,High,28,69
T000157,Medium,15,80
T000158,Medium,10,26
T000159,Medium,11,72
T000160,High,26,27
T000161,High,16,22
T000162,High,7,73
T000163,High,3,21
T000164,Low,4,77
T000165,Medium,8,50
T000166,Medium,3,29
T000167,High,18,42
T000168,High,30,60
T000169,Low,1,80
T000170,Low,8,69
T000171,High,30,32
T000172,High,30,44
T000173,High,16,54
T000174,Medium,21,79
T000175,Medium,24,74
T000176,High,25,47
T000177,Medium,27,36
T000178,Medium,7,72
T000179,Medium,9,36
T000180,Medium,13,27
T000181,Medium,25,79
T000182,Low,30,43
T000183,High,0,69
T000184,High,21,42
T000185,High,17,34
T000186,Medium,24,47
T000187,Low,7,53
T000188,Medium,0,29
T000189,Medium,15,43
T000190,Low,7,44
T000191,High,16,27
T000192,High,18,70
T000193,Low,25,26
T000194,Medium,15,32
T000195,High,16,44
T000196,Medium,10,27
T000197,Low,18,36
T000198,Low,16,22
T000199,Low,24,60
T000200,Low,27,43
T000201,High,23,22
T000202,Low,14,42
T000203,Low,26,77
T000204,Low,20,44
T000205,Medium,9,70
T000206,High,18,32
T000207,High,5,42
T000208,Low,22,71
T000209,High,28,62
T000210,Low,28,61
T000211,Medium,10,51
T000212,Medium,10,77
T000213,Medium,21,71
T000214,Medium,26,76
T000215,Medium,7,63
T000216,High,13,68
T000217,Low,26,44
T000218,High,20,23
T000219,Medium,16,27
T000220,Medium,29,65
T000221,High,5,78
T000222,Low,19,68
T000223,High,17,37
T000224,Low,19,62
T000225,Low,22,75
T000226,High,27,40
T000227,High,0,49
T000228,Medium,16,55
T000229,Medium,15,29
T000230,High,2,29
T000231,High,15,76
T000232,High,6,41
T000233,Low,9,79
T000234,Medium,6,38
T000235,Medium,30,65
T000236,High,19,77
T000237,High,9,63
T000238,Medium,11,58
T000239,Medium,2,41
T000240,High,19,49
T000241,Medium,26,28
T000242,Medium,2,57
T000243,Medium,18,45
T000244,High,2,61
T000245,Low,26,48
T000246,High,22,43
T000247,High,17,71
T000248,Medium,18,36
T000249,High,8,20
T000250,High,29,72
T000251,Low,14,45
T000252,Medium,10,53
T000253,High,18,69
T000254,Medium,1,21
T000255,High,5,36
T000256,Medium,8,31
T000257,Low,2,24
T000258,High,12,74
T000259,Low,14,68
T000260,High,0,66
T000261,Medium,27,75
T000262,High,28,39
T000263,Low,17,28
T000264,High,1,28
T000265,Low,25,69
T000266,High,25,39
T000267,High,4,63
T000268,Low,5,70
T000269,High,7,67
T000270,Medium,20,42
T000271,Medium,27,34
T000272,High,29,56
T000273,High,24,20
T000274,Low,27,65
T000275,High,2,59
T000276,Low,7,54
T000277,High,16,53
T000278,Medium,8,27
T000279,Medium,25,34
T000280,Medium,9,69
T000281,High,1,40
T000282,High,4,80
T000283,High,3,66
T000284,Low,8,32
T000285,High,11,20
T000286,Low,2,29
T000287,Low,26,44
T000288,High,21,77
T000289,Low,21,50
T000290,Low,1,38
T000291,High,22,43
T000292,Low,28,55
T000293,Low,9,21
T000294,Medium,3,22
T000295,Medium,27,67
T000296,High,29,33
T000297,Low,24,43
T000298,Low,27,24
T000299,High,5,24
T000300,Low,19,80
T000301,Low,0,31
T000302,Low,0,80
T000303,Medium,22,44
T000304,Medium,0,57
T000305,High,18,25
T000306,High,10,44
T000307,High,20,74
T000308,Low,25,53
T000309,High,22,53
T000310,Medium,14,29
T000311,Medium,4,32
T000312,High,25,21
T000313,Low,21,73
T000314,Medium,8,75
T000315,Medium,20,77
T000316,High,0,78
T000317,Medium,15,67
T000318,Low,20,61
T000319,Medium,13,70
T000320,Low,29,55
T000321,Low,29,79
T000322,Low,6,46
T000323,Low,21,33
T000324,Low,16,59
T000325,High,8,27
T000326,High,15,68
T000327,Low,11,65
T000328,Low,16,69
T000329,High,0,25
T000330,High,1,71
T000331,Low,24,61
T000332,High,19,47
T000333,Medium,20,61
T000334,Medium,13,46
T000335,Medium,28,65
T000336,High,3,20
T000337,Medium,26,21
T000338,High,22,48
T000339,Low,19,66
T000340,Low,19,80
T000341,High,9,66
T000342,Medium,13,80
T000343,Medium,19,34
T000344,Medium,14,73
T000345,High,15,66
T000346,Low,11,65
T000347,Low,0,65
T000348,Medium,12,76
T000349,Medium,28,71
T000350,High,5,21
T000351,High,18,67
T000352,Medium,14,26
T000353,Low,15,60
T000354,Low,1,67
T000355,Low,4,29
T000356,Low,28,41
T000357,Low,28,45
T000358,High,2,32
T000359,Low,1,51
T000360,Medium,1,59
T000361,Low,24,52
T000362,Low,20,70
T000363,Low,20,30
T000364,High,22,27
T000365,Low,14,58
T000366,High,20,61
T000367,High,0,34
T000368,Low,26,60
T000369,Low,27,34
T000370,High,21,53
T000371,Low,30,24
T000372,Low,1,72
T000373,Low,1,78
T000374,Low,14,70
T000375,Medium,8,42
T000376,Low,9,58
T000377,Low,15,64
T000378,High,22,34
T000379,High,14,32
T000380,Low,21,28
T000381,Medium,28,79
T000382,Medium,20,70
T000383,Low,10,65
T000384,Medium,6,39
T000385,Medium,14,47
T000386,Low,29,34
T000387,Medium,23,54
T000388,Medium,16,57
T000389,Medium,0,51
T000390,High,25,58
T000391,Low,22,58
T000392,Medium,3,28
T000393,Low,21,49
T000394,Medium,28,78
T000395,Medium,3,45
T000396,High,10,46
T000397,Low,10,62
T000398,High,23,45
T000399,Low,22,62
T000400,Low,6,63
T000401,High,7,33
T000402,Low,24,58
T000403,Medium,2,41
T000404,High,1,28
T000405,High,9,68
T000406,Low,2,75
T000407,Low,23,32
T000408,High,19,67
T000409,Low,14,39
T000410,Medium,30,45
T000411,Medium,15,60
T000412,High,14,80
T000413,Low,26,47
T000414,High,22,39
T000415,High,16,80
T000416,Low,2,44
T000417,Medium,16,70
T000418,Medium,12,59
T000419,Medium,26,35
T000420,High,21,48
T000421,Medium,15,70
T000422,Low,0,30
T000423,High,24,79
T000424,High,18,43
T000425,Medium,19,57
T000426,Medium,9,52
T000427,High,7,64
T000428,Medium,23,38
T000429,Low,6,71
T000430,High,16,61
T000431,Low,27,72
T000432,Low,23,26
T000433,Medium,26,54
T000434,Low,18,33
T000435,Low,21,54
T000436,High,17,33
T000437,High,2,60
T000438,High,3,54
T000439,Medium,25,79
T000440,Low,25,67
T000441,High,13,65
T000442,High,24,40
T000443,Low,16,63
T000444,High,29,76
T000445,Low,15,38
T000446,Low,11,26
T000447,Low,21,36
T000448,Low,3,32
T000449,Low,24,69
T000450,Low,23,20
T000451,Low,22,70
T000452,High,1,44
T000453,Low,7,40
T000454,Low,21,55
T000455,Low,20,72
T000456,High,22,36
T000457,Low,6,67
T000458,Low,18,64
T000459,Medium,30,76
T000460,Low,13,77
T000461,Medium,27,60
T000462,High,14,31
T000463,High,14,78
T000464,High,30,60
T000465,High,1,54
T000466,Low,20,38
T000467,Medium,4,31
T000468,Low,2,70
T000469,Medium,10,28
T000470,Medium,26,34
T000471,High,11,74
T000472,Low,22,26
T000473,Low,23,53
T000474,Medium,14,55
T000475,Low,23,55
T000476,Medium,9,30
T000477,Low,10,25
T000478,High,25,69
T000479,Medium,5,52
T000480,High,15,26
T000481,Medium,24,49
T000482,High,16,74
T000483,Medium,3,38
T000484,Medium,13,32
T000485,Low,19,69
T000486,Medium,12,25
T000487,High,17,64
T000488,Low,28,49
T000489,Medium,23,32
T000490,Low,27,27
T000491,Medium,5,54
T000492,High,24,59
T000493,High,13,78
T000494,Medium,0,29
T000495,Medium,12,66
T000496,Low,2,25
T000497,Low,20,77
T000498,Medium,9,36
T000499,Medium,25,30
T000500,Low,0,54
T000501,Low,22,55
T000502,Low,6,66
T000503,Medium,18,46
T000504,Medium,10,27
T000505,Medium,30,76
T000506,Medium,10,57
T000507,Medium,25,46
T000508,High,3,21
T000509,High,25,22
T000510,High,28,74
T000511,High,26,75
T000512,Low,18,68
T000513,High,13,30
T000514,Low,29,55
T000515,High,19,37
T000516,Low,3,34
T000517,High,5,40
T000518,Low,15,57
T000519,Low,23,42
T000520,Medium,0,29
T000521,Medium,30,37
T000522,Medium,14,56
T000523,Medium,1,33
T000524,Low,8,29
T000525,Low,13,63
T000526,Medium,26,47
T000527,Medium,4,59
T000528,High,1,25
T000529,High,16,29
T000530,Medium,7,33
T000531,Low,3,47
T000532,Low,22,71
T000533,Medium,14,76
T000534,Medium,27,70
T000535,Low,22,40
T000536,Low,29,66
T000537,Medium,3,64
T000538,Low,0,60
T000539,Medium,6,56
T000540,Low,17,41
T000541,Medium,19,23
T000542,High,29,76
T000543,Medium,11,47
T000544,Low,24,44
T000545,Medium,23,68
T000546,Low,15,62
T000547,Medium,8,40
T000548,Medium,22,48
T000549,Medium,7,33
T000550,Low,26,59
T000551,Low,29,35
T000552,Low,25,69
T000553,Low,18,80
T000554,Medium,20,22
T000555,Low,1,58
T000556,High,10,58
T000557,Medium,22,69
T000558,Medium,3,74
T000559,Medium,14,66
T000560,Medium,21,28
T000561,Medium,24,55
T000562,Low,3,41
T000563,Low,18,78
T000564,High,18,53
T000565,Low,8,51
T000566,High,25,32
T000567,Medium,13,51
T000568,Medium,2,65
T000569,Low,15,72
T000570,High,19,44
T000571,Medium,3,76
T000572,Low,21,35
T000573,Low,23,34
T000574,Low,25,44
T000575,High,5,78
T000576,Low,22,35
T000577,High,18,70
T000578,Medium,7,46
T000579,Medium,14,43
T000580,High,15,53
T000581,High,10,61
T000582,Low,28,47
T000583,High,11,56
T000584,High,13,31
T000585,High,28,34
T000586,Medium,4,26
T000587,High,0,70
T000588,Low,16,68
T000589,High,26,47
T000590,High,28,78
T000591,Low,1,61
T000592,Medium,20,68
T000593,High,17,37
T000594,High,4,66
T000595,High,18,73
T000596,Low,28,66
T000597,High,6,37
T000598,Medium,18,44
T000599,Medium,14,36
T000600,Low,13,50
T000601,Medium,15,73
T000602,High,18,21
T000603,High,14,20
T000604,Low,17,63
T000605,Medium,17,24
T000606,Low,7,28
T000607,Medium,12,63
T000608,High,1,39
T000609,High,4,20
T000610,Medium,21,38
T000611,Low,17,26
T000612,Medium,20,71
T000613,High,25,32
T000614,High,21,22
T000615,Low,7,24
T000616,High,27,67
T000617,Medium,9,68
T000618,High,4,44
T000619,High,11,60
T000620,High,0,54
T000621,Medium,18,66
T000622,High,23,75
T000623,Medium,14,52
T000624,Low,30,36
T000625,Medium,14,47
T000626,High,2,49
T000627,High,11,56
T000628,High,20,34
T000629,Medium,16,40
T000630,High,24,66
T000631,High,17,54
T000632,Low,17,37
T000633,Low,20,24
T000634,Low,6,57
T000635,Medium,21,55
T000636,Medium,21,54
T000637,Medium,6,69
T000638,Medium,4,39
T000639,Medium,8,21
T000640,Low,7,30
T000641,Low,20,41
T000642,Medium,14,35
T000643,High,14,34
T000644,Medium,0,56
T000645,High,27,25
T000646,High,24,64
T000647,Low,18,79
T000648,Low,10,79
T000649,Medium,14,48
T000650,Low,13,32
T000651,High,30,74
T000652,Medium,24,22
T000653,Medium,0,51
T000654,High,23,53
T000655,Low,15,77
T000656,Medium,9,76
T000657,Medium,29,74
T000658,Low,11,32
T000659,High,14,62
T000660,Low,9,28
T000661,High,24,29
T000662,Medium,1,80
T000663,Medium,19,24
T000664,Low,12,27
T000665,Low,23,59
T000666,Medium,7,53
T000667,Low,16,41
T000668,Low,26,56
T000669,Low,23,22
T000670,Medium,25,21
T000671,Medium,24,75
T000672,Medium,20,45
T000673,Low,9,78
T000674,Low,28,76
T000675,Medium,7,48
T000676,High,22,70
T000677,Low,16,65
T000678,High,0,55
T000679,High,24,80
T000680,Medium,11,57
T000681,High,10,25
T000682,Medium,5,36
T000683,Medium,30,53
T000684,Low,18,31
T000685,Medium,5,77
T000686,Medium,30,72
T000687,Medium,17,61
T000688,Medium,9,51
T000689,Low,12,32
T000690,High,10,24
T000691,Low,26,34
T000692,High,0,46
T000693,Medium,28,70
T000694,High,17,74
T000695,Medium,4,48
T000696,Low,12,44
T000697,Medium,30,40
T000698,High,18,27
T000699,Low,11,60
T000700,Low,14,46
T000701,Medium,16,33
T000702,Medium,26,69
T000703,High,18,69
T000704,Low,28,22
T000705,Medium,26,48
T000706,High,22,74
T000707,Low,18,31
T000708,Medium,9,65
T000709,High,28,30
T000710,Medium,23,56
T000711,Medium,8,55
T000712,High,18,71
T000713,High,1,65
T000714,Low,26,32
T000715,Medium,2,32
T000716,Medium,20,76
T000717,Medium,24,78
T000718,High,6,34
T000719,Medium,12,75
T000720,Low,26,74
T000721,Medium,16,80
T000722,High,4,43
T000723,Low,28,28
T000724,High,19,40
T000725,Low,26,59
T000726,Medium,6,53
T000727,Medium,12,55
T000728,Medium,10,73
T000729,Medium,29,24
T000730,Low,25,45
T000731,Low,1,34
T000732,Medium,18,22
T000733,High,16,44
T000734,Low,3,22
T000735,Low,28,73
T000736,Low,17,58
T000737,Low,11,33
T000738,Medium,0,27
T000739,Medium,13,73
T000740,High,14,71
T000741,High,5,43
T000742,Medium,13,43
T000743,Medium,17,60
T000744,High,21,65
T000745,High,20,49
T000746,High,3,80
T000747,Low,11,33
T000748,High,19,76
T000749,Medium,10,35
T000750,Low,8,64
T000751,Medium,21,29
T000752,High,25,64
T000753,Medium,13,55
T000754,Medium,15,24
T000755,Low,0,39
T000756,Low,4,74
T000757,High,12,21
T000758,High,16,38
T000759,Low,17,58
T000760,Medium,16,59
T000761,High,8,36
T000762,High,28,38
T000763,Low,2,36
T000764,Low,13,60
T000765,Low,3,79
T000766,Low,0,55
T000767,Low,14,59
T000768,Low,14,48
T000769,Low,12,73
T000770,High,19,76
T000771,Medium,8,42
T000772,Low,29,30
T000773,High,7,75
T000774,Medium,25,31
T000775,Low,5,23
T000776,High,4,20
T000777,High,16,79
T000778,Low,24,21
T000779,High,14,65
T000780,Low,11,72
T000781,Low,16,33
T000782,Medium,24,55
T000783,High,9,20
T000784,Medium,29,30
T000785,High,21,63
T000786,Low,26,29
T000787,Medium,5,59
T000788,Medium,6,45
T000789,Medium,2,79
T000790,Medium,0,72
T000791,Low,24,64
T000792,Medium,29,35
T000793,High,10,64
T000794,Low,11,24
T000795,Low,13,62
T000796,Low,23,31
T000797,High,12,76
T000798,Medium,28,46
T000799,Medium,14,35
T000800,High,6,54
T000801,High,4,79
T000802,Low,27,27
T000803,Low,8,70
T000804,Low,22,54
T000805,Low,23,64
T000806,High,29,43
T000807,Medium,25,22
T000808,Low,13,24
T000809,Low,3,36
T000810,High,9,26
T000811,Low,11,45
T000812,Low,30,72
T000813,High,4,45
T000814,High,3,62
T000815,High,26,64
T000816,Low,6,44
T000817,Medium,13,27
T000818,Medium,8,30
T000819,High,8,75
T000820,Low,15,53
T000821,High,20,45
T000822,Medium,3,56
T000823,Medium,3,22
T000824,High,22,37
T000825,Low,14,55
T000826,High,21,48
T000827,Medium,17,31
T000828,Low,30,78
T000829,Medium,17,49
T000830,Low,5,54
T000831,Low,15,74
T000832,High,1,68
T000833,High,25,77
T000834,High,17,72
T000835,Medium,13,49
T000836,Low,4,71
T000837,Medium,19,74
T000838,Low,8,60
T000839,Medium,2,29
T000840,Medium,3,39
T000841,Medium,11,41
T000842,High,24,34
T000843,Medium,6,78
T000844,High,23,76
T000845,High,30,25
T000846,Medium,3,41
T000847,Low,19,63
T000848,Low,16,50
T000849,Low,2,36
T000850,High,23,22
T000851,Low,21,49
T000852,Low,17,61
T000853,Medium,15,75
T000854,High,18,65
T000855,High,9,73
T000856,High,6,26
T000857,Low,20,27
T000858,Low,28,80
T000859,Low,27,70
T000860,Medium,15,71
T000861,Low,7,57
T000862,Low,3,73
T000863,High,1,49
T000864,High,19,38
T000865,High,26,50
T000866,Medium,11,65
T000867,Medium,3,34
T000868,Low,18,23
T000869,Medium,17,26
T000870,Low,8,53
T000871,High,21,40
T000872,High,30,51
T000873,Medium,2,45
T000874,Low,12,49
T000875,Low,23,34
T000876,High,16,49
T000877,Low,24,24
T000878,High,16,56
T000879,High,27,43
T000880,High,29,53
T000881,High,30,77
T000882,Low,7,75
T000883,Low,0,59
T000884,Low,15,30
T000885,Medium,6,66
T000886,Medium,27,61
T000887,Medium,26,28
T000888,Medium,24,48
T000889,High,10,70
T000890,Low,7,57
T000891,Medium,5,63
T000892,Medium,20,46
T000893,Medium,6,58
T000894,Low,17,30
T000895,Low,27,56
T000896,Medium,5,24
T000897,High,23,47
T000898,Low,30,39
T000899,High,30,69
T000900,High,29,51
T000901,Low,23,75
T000902,Medium,6,64
T000903,Low,2,42
T000904,Low,15,37
T000905,High,3,33
T000906,Medium,29,31
T000907,High,13,44
T000908,High,21,45
T000909,Low,26,70
T000910,High,8,32
T000911,Medium,3,43
T000912,Low,27,38
T000913,High,18,78
T000914,Medium,13,20
T000915,Low,0,53
T000916,Low,14,65
T000917,Medium,5,42
T000918,Medium,13,76
T000919,High,0,68
T000920,High,24,64
T000921,Medium,19,53
T000922,High,15,38
T000923,Low,25,20
T000924,High,5,62
T000925,High,3,25
T000926,High,28,42
T000927,Medium,26,73
T000928,High,16,29
T000929,High,13,22
T000930,High,20,22
T000931,Medium,10,26
T000932,High,1,76
T000933,High,24,66
T000934,Low,10,55
T000935,Low,8,21
T000936,High,26,55
T000937,High,12,64
T000938,High,21,31
T000939,Low,10,35
T000940,Medium,18,36
T000941,High,10,47
T000942,High,12,76
T000943,Medium,13,30
T000944,Medium,22,26
T000945,High,22,51
T000946,Medium,23,27
T000947,Medium,11,36
T000948,High,10,67
T000949,Low,23,72
T000950,Low,15,42
T000951,High,17,52
T000952,Medium,5,37
T000953,Medium,25,55
T000954,Low,18,47
T000955,Medium,23,58
T000956,High,29,72
T000957,High,22,53
T000958,High,25,25
T000959,Medium,9,46
T000960,Low,18,44
T000961,Medium,2,65
T000962,Low,6,38
T000963,Low,21,62
T000964,High,30,25
T000965,Medium,18,43
T000966,Low,3,54
T000967,Low,29,76
T000968,Low,27,56
T000969,High,6,72
T000970,High,22,36
T000971,Medium,18,43
T000972,High,18,28
T000973,High,10,64
T000974,Medium,13,73
T000975,Medium,24,55
T000976,Low,1,45
T000977,Low,25,34
T000978,Medium,19,41
T000979,High,21,58
T000980,Medium,1,63
T000981,Low,28,56
T000982,High,28,59
T000983,Low,29,34
T000984,Medium,1,52
T000985,Low,12,24
T000986,High,1,69
T000987,High,12,68
T000988,Low,1,60
T000989,Low,11,35
T000990,High,9,77
T000991,Medium,7,46
T000992,Medium,2,71
T000993,Low,16,56
T000994,Medium,14,64
T000995,High,16,78
T000996,Low,17,28
T000997,Low,18,58
T000998,Low,27,79
T000999,Low,1,42
T001000,High,28,72
T001001,Low,12,45
T001002,Low,28,77
T001003,Low,6,63
T001004,Medium,30,29
T001005,High,15,80
T001006,High,30,38
T001007,High,15,45
T001008,High,30,77
T001009,High,5,41
T001010,High,12,39
T001011,Medium,30,36
T001012,Low,30,78
T001013,Medium,6,43
T001014,Medium,10,76
T001015,High,22,42
T001016,Medium,2,39
T001017,Low,29,22
T001018,High,11,28
T001019,Low,5,20
T001020,Medium,1,52
T001021,High,17,60
T001022,High,4,29
T001023,Medium,30,42
T001024,Low,20,27
T001025,Low,28,62
T001026,High,1,43
T001027,Medium,2,56
T001028,High,2,59
T001029,Medium,18,53
T001030,Low,15,61
T001031,High,23,70
T001032,Low,0,65
T001033,Medium,26,32
T001034,Medium,13,59
T001035,Low,3,30
T001036,Low,13,35
T001037,High,7,73
T001038,Medium,4,58
T001039,Low,1,50
T001040,Medium,18,47
T001041,High,12,75
T001042,High,11,55
T001043,Low,23,28
T001044,Low,21,71
T001045,High,25,61
T001046,Low,5,72
T001047,High,12,56
T001048,Low,27,47
T001049,Low,7,21
T001050,Low,25,28
T001051,Medium,8,46
T001052,Medium,10,52
T001053,Medium,6,48
T001054,Low,28,24
T001055,High,23,76
T001056,Medium,12,63
T001057,Low,26,53
T001058,Medium,21,48
T001059,Medium,10,70
T001060,Medium,9,27
T001061,Low,5,72
T001062,Medium,17,68
T001063,High,29,76
T001064,High,1,44
T001065,Low,10,69
T001066,High,25,29
T001067,Low,27,59
T001068,High,13,21
T001069,High,7,76
T001070,Medium,14,68
T001071,High,29,71
T001072,High,4,26
T001073,High,0,60
T001074,High,17,61
T001075,Low,24,30
T001076,Low,0,68
T001077,Medium,17,20
T001078,High,7,38
T001079,High,19,30
T001080,Low,26,36
T001081,High,27,67
T001082,Low,28,75
T001083,Medium,18,23
T001084,Low,9,80
T001085,Medium,25,69
T001086,Medium,21,38
T001087,Medium,7,40
T001088,Medium,21,31
T001089,Low,17,40
T001090,Low,1,41
T001091,High,27,53
T001092,Medium,17,21
T001093,Low,5,71
T001094,Low,26,62
T001095,Low,12,79
T001096,Medium,19,57
T001097,Medium,13,62
T001098,High,17,78
T001099,High,16,54
T001100,Medium,24,75
T001101,Low,19,51
T001102,Low,27,47
T001103,Low,21,40
T001104,Low,7,66
T001105,High,2,77
T001106,Medium,7,71
T001107,Medium,11,42
T001108,High,10,78
T001109,Medium,27,72
T001110,Low,4,79
T001111,Low,12,36
T001112,High,28,49
T001113,Low,30,33
T001114,High,22,20
T001115,Low,20,74
T001116,High,26,65
T001117,Low,17,80
T001118,Low,0,36
T001119,Low,20,30
T001120,Low,10,21
T001121,Low,6,54
T001122,High,15,27
T001123,Low,4,25
T001124,Low,5,46
T001125,Medium,18,54
T001126,High,25,54
T001127,Low,14,72
T001128,High,30,32
T001129,Medium,8,47
T001130,Low,0,23
T001131,High,3,45
T001132,Medium,19,22
T001133,High,7,35
T001134,Medium,24,56
T001135,High,19,36
T001136,Medium,17,78
T001137,High,22,40
T001138,Medium,10,26
T001139,High,5,34
T001140,Low,29,60
T001141,High,23,22
T001142,Medium,23,71
T001143,Low,30,31
T001144,High,17,48
T001145,High,4,35
T001146,Medium,24,42
T001147,Medium,17,55
T001148,Low,18,71
T001149,Low,23,31
T001150,Medium,1,32
T001151,High,3,68
T001152,Low,8,26
T001153,Medium,29,30
T001154,High,15,73
T001155,Medium,25,38
T001156,Medium,12,31
T001157,High,11,24
T001158,High,6,32
T001159,Low,0,20
T001160,Low,12,65
T001161,Low,26,71
T001162,High,11,68
T001163,Medium,13,68
T001164,Low,20,50
T001165,Medium,14,62
T001166,Medium,13,47
T001167,High,22,28
T001168,High,21,34
T001169,Medium,30,77
T001170,Low,5,47
T001171,Low,5,80
T001172,Medium,17,43
T001173,Low,30,56
T001174,High,2,45
T001175,High,7,74
T001176,Medium,5,76
T001177,Low,18,27
T001178,Low,18,51
T001179,Medium,1,54
T001180,High,29,22
T001181,Low,19,76
T001182,Low,5,38
T001183,Low,2,30
T001184,Medium,11,37
T001185,High,7,26
T001186,Medium,28,59
T001187,Low,3,24
T001188,Medium,14,51
T001189,Medium,25,27
T001190,Medium,11,75
T001191,Medium,22,47
T001192,Medium,12,30
T001193,High,0,25
T001194,Medium,13,45
T001195,High,24,25
T001196,Low,14,51
T001197,Low,5,32
T001198,Low,4,80
T001199,Low,13,74
T001200,Medium,19,56
T001201,Medium,10,70
T001202,High,18,22
T001203,High,10,50
T001204,Medium,27,61
T001205,Medium,28,46
T001206,Medium,14,50
T001207,Medium,28,22
T001208,High,28,77
T001209,Medium,6,52
T001210,Medium,12,21
T001211,High,24,24
T001212,Low,16,73
T001213,Medium,17,47
T001214,Low,20,58
T001215,Medium,7,55
T001216,High,21,34
T001217,Low,24,22
T001218,Medium,12,29
T001219,Medium,20,61
T001220,Medium,0,55
T001221,Medium,5,61
T001222,Low,19,21
T001223,Low,14,20
T001224,High,24,80
T001225,High,12,46
T001226,Medium,5,28
T001227,Low,28,42
T001228,High,14,59
T001229,Low,19,53
T001230,Medium,23,80
T001231,Low,17,50
T001232,High,5,34
T001233,Medium,11,45
T001234,High,24,61
T001235,Medium,1,51
T001236,Medium,16,50
T001237,Medium,13,75
T001238,High,22,35
T001239,Medium,2,66
T001240,High,9,20
T001241,Medium,21,33
T001242,Low,0,29
T001243,Medium,29,32
T001244,Medium,19,25
T001245,Medium,21,27
T001246,High,8,38
T001247,High,13,76
T001248,Low,11,51
T001249,Low,20,60
T001250,Low,0,58
T001251,Medium,27,49
T001252,Medium,2,27
T001253,Medium,25,63
T001254,Medium,0,38
T001255,Low,21,66
T001256,Low,18,36
T001257,Low,2,68
T001258,High,17,49
T001259,Low,20,26
T001260,Low,1,31
T001261,Medium,1,28
T001262,High,21,24
T001263,Medium,30,34
T001264,Low,14,33
T001265,Medium,19,40
T001266,Low,24,43
T001267,Medium,30,46
T001268,High,2,36
